Budget,Revenue,Title,Average Vote,release_date,Release Year,"Revenue, USD mln","Budget, USD mln","Revenue Adjusted, USD mln",Revenue Adjusted,"Budget Adjusted, USD mln",Outlier,Starring Actors Popularity
150000000,373062864,X-Men Origins: Wolverine,6.2,2009-04-28,2009.0,373.062864,150.0,472.58487459197727,472584874.59197724,190.01551220814247,False,2091.2599655591057
150000000,356613439,Angels & Demons,6.5,2009-05-13,2009.0,356.613439,150.0,451.7472351459478,451747235.14594775,190.01551220814247,False,7888.843687110801
150000000,292817841,G-Force,5.1,2009-07-21,2009.0,292.817841,150.0,370.9328802753161,370932880.2753161,190.01551220814247,False,751.6317296210565
105000000,121214377,Starship Troopers,6.7,1997-11-06,1997.0,121.214377,105.0,218.92664810315392,218926648.1031539,189.64167964028854,False,0.0
145000000,401128639,The Mummy: Tomb of the Dragon Emperor,5.2,2008-07-01,2008.0,401.128639,145.0,523.3818914331218,523381891.4331218,189.19211165524052,False,941.239079131654
132000000,591739379,War of the Worlds,6.2,2005-06-28,2005.0,591.739379,132.0,843.6788617848474,843678861.7848474,188.20043706369566,False,6885.697845282583
140000000,258022233,Rush Hour 3,6.1,2007-08-08,2007.0,258.022233,140.0,346.7603051636455,346760305.1636455,188.1482931081771,False,1305.9423672283092
98000000,10017322,Cutthroat Island,5.7,1995-12-22,1995.0,10.017322,98.0,19.194224831856108,19194224.83185611,187.77813406835665,False,360.102361356623
120000000,649398328,Star Wars: Episode II - Attack of the Clones,6.4,2002-05-15,2002.0,649.398328,120.0,1011.7414354190163,1011741435.4190162,186.95608999209182,False,2060.049225449819
120000000,169956806,Stuart Little 2,5.4,2002-07-19,2002.0,169.956806,120.0,264.7871659775374,264787165.97753742,186.95608999209182,False,2573.283655581061
176000003,183987723,Jupiter Ascending,5.2,2015-02-04,2015.0,183.987723,176.000003,195.19257533069998,195192575.33069998,186.71840318269997,False,2058.1230072544977
100000000,242295562,Eraser,5.6,1996-06-21,1996.0,242.295562,100.0,450.7411187379019,450741118.7379019,186.0294571709497,False,4244.54660033092
100000000,100138851,The Hunchback of Notre Dame,6.8,1996-06-21,1996.0,100.138851,100.0,186.28776093252617,186287760.93252614,186.0294571709497,False,1880.6665683236401
170000000,714766572,Captain America: The Winter Soldier,7.6,2014-03-20,2014.0,714.766572,170.0,781.044731921844,781044731.921844,185.76359,False,3584.4473703986787
170000000,773328629,Guardians of the Galaxy,7.9,2014-07-30,2014.0,773.328629,170.0,845.037072781283,845037072.781283,185.76359,False,4062.4869331108607
170000000,710644566,Dawn of the Planet of the Apes,7.3,2014-06-26,2014.0,710.644566,170.0,776.540504671482,776540504.671482,185.76359,False,3349.958081955415
175000000,331926147,The Good Dinosaur,6.6,2015-11-14,2015.0,331.926147,175.0,352.1404493523,352140449.3523,185.6575,False,283.4478367689333
175000000,857611174,Inside Out,8.0,2015-06-09,2015.0,857.611174,175.0,909.8396944965999,909839694.4965999,185.6575,False,190.4815586744173
180000000,356743061,The Legend of Tarzan,5.5,2016-06-29,2016.0,356.743061,180.0,367.44535283000005,367445352.83,185.4,False,2144.4225853185103
130000000,211643158,Kingdom of Heaven,6.6,2005-05-03,2005.0,211.643158,130.0,301.75253664500605,301752536.64500606,185.3489152900033,False,1666.9865915273374
130000000,119269486,Sahara,5.7,2005-04-06,2005.0,119.269486,130.0,170.04976813304796,170049768.13304797,185.3489152900033,False,1296.4771276121444
115000000,274703340,Lara Croft: Tomb Raider,5.7,2001-06-11,2001.0,274.70334,115.0,440.81821853994376,440818218.5399437,184.54124049636064,False,1549.8215911439997
115000000,562816256,"Monsters, Inc.",7.5,2001-11-01,2001.0,562.816256,115.0,903.1548700326719,903154870.0326719,184.54124049636064,False,1307.5757105564198
150000000,335154643,Prince of Persia: The Sands of Time,6.2,2010-05-19,2010.0,335.154643,150.0,412.19793630150247,412197936.3015024,184.48107981373053,False,1285.1419108255986
150000000,215283742,The Sorcerer's Apprentice,5.8,2010-07-13,2010.0,215.283742,150.0,264.77184793667044,264771847.93667048,184.48107981373053,False,3645.376594082149
150000000,318502923,The Last Airbender,4.7,2010-06-30,2010.0,318.502923,150.0,391.7184210591298,391718421.0591298,184.48107981373053,False,0.0
125000000,544272402,The Day After Tomorrow,6.2,2004-05-26,2004.0,544.272402,125.0,799.2823716382629,799282371.6382629,183.5667141814456,False,677.4300066074308
178000000,543934787,X-Men: Apocalypse,6.4,2016-05-18,2016.0,543.934787,178.0,560.25283061,560252830.61,183.34,False,3873.7269881556635
