Title,Actor
Goosebumps,Jack Black
Goosebumps,Dylan Minnette
Goosebumps,Odeya Rush
Just Like Heaven,Reese Witherspoon
Just Like Heaven,Mark Ruffalo
Just Like Heaven,Donal Logue
The Flintstones in Viva Rock Vegas,Mark Addy
The Flintstones in Viva Rock Vegas,Stephen Baldwin
The Flintstones in Viva Rock Vegas,Kristen Johnston
Rambo III,Sylvester Stallone
Rambo III,Richard Crenna
Rambo III,Kurtwood Smith
Leatherheads,George Clooney
Leatherheads,Renée Zellweger
Leatherheads,John Krasinski
The Ridiculous 6,Adam Sandler
The Ridiculous 6,Taylor Lautner
The Ridiculous 6,Steve Buscemi
Did You Hear About the Morgans?,Hugh Grant
Did You Hear About the Morgans?,Sarah Jessica Parker
Did You Hear About the Morgans?,Mary Steenburgen
The Internship,Owen Wilson
The Internship,Vince Vaughn
The Internship,Rose Byrne
Resident Evil: Afterlife,Milla Jovovich
Resident Evil: Afterlife,Wentworth Miller
Resident Evil: Afterlife,Ali Larter
Red Tails,Bryan Cranston
Red Tails,David Oyelowo
Red Tails,Cuba Gooding Jr.
The Devil's Advocate,Keanu Reeves
The Devil's Advocate,Al Pacino
The Devil's Advocate,Charlize Theron
That's My Boy,Adam Sandler
That's My Boy,Susan Sarandon
That's My Boy,Eva Amurri Martino
DragonHeart,Dennis Quaid
DragonHeart,David Thewlis
DragonHeart,Pete Postlethwaite
After the Sunset,Pierce Brosnan
After the Sunset,Salma Hayek
After the Sunset,Woody Harrelson
Ghost Rider: Spirit of Vengeance,Nicolas Cage
Ghost Rider: Spirit of Vengeance,Ciarán Hinds
Ghost Rider: Spirit of Vengeance,Violante Placido
Captain Corelli's Mandolin,Nicolas Cage
Captain Corelli's Mandolin,Penélope Cruz
Captain Corelli's Mandolin,John Hurt
The Pacifier,Vin Diesel
The Pacifier,Lauren Graham
The Pacifier,Faith Ford
Walking Tall,Dwayne Johnson
Walking Tall,Johnny Knoxville
Walking Tall,Neal McDonough
Forrest Gump,Tom Hanks
Forrest Gump,Robin Wright
Forrest Gump,Gary Sinise
Alvin and the Chipmunks,Jason Lee
Alvin and the Chipmunks,David Cross
Alvin and the Chipmunks,Cameron Richardson
Meet the Parents,Ben Stiller
Meet the Parents,Robert De Niro
Meet the Parents,Teri Polo
Pocahontas,Irene Bedard
Pocahontas,Mel Gibson
Pocahontas,David Ogden Stiers
Superman,Christopher Reeve
Superman,Marlon Brando
Superman,Margot Kidder
The Nutty Professor,Eddie Murphy
The Nutty Professor,Jada Pinkett Smith
The Nutty Professor,James Coburn
Hitch,Will Smith
Hitch,Eva Mendes
Hitch,Kevin James
George of the Jungle,Brendan Fraser
George of the Jungle,Leslie Mann
George of the Jungle,Thomas Haden Church
American Wedding,Jason Biggs
American Wedding,Alyson Hannigan
American Wedding,Seann William Scott
Captain Phillips,Tom Hanks
Captain Phillips,Catherine Keener
Captain Phillips,Max Martini
Date Night,Tina Fey
Date Night,Steve Carell
Date Night,Mark Wahlberg
Casper,Christina Ricci
Casper,Bill Pullman
Casper,Cathy Moriarty
The Equalizer,Denzel Washington
The Equalizer,Marton Csokas
The Equalizer,Chloë Grace Moretz
Maid in Manhattan,Jennifer Lopez
Maid in Manhattan,Ralph Fiennes
Maid in Manhattan,Natasha Richardson
Crimson Tide,Denzel Washington
Crimson Tide,Gene Hackman
Crimson Tide,Matt Craven
The Pursuit of Happyness,Will Smith
The Pursuit of Happyness,Jaden Smith
The Pursuit of Happyness,Thandie Newton
Flightplan,Jodie Foster
Flightplan,Peter Sarsgaard
Flightplan,Sean Bean
Disclosure,Michael Douglas
Disclosure,Demi Moore
Disclosure,Donald Sutherland
City of Angels,Nicolas Cage
City of Angels,Meg Ryan
City of Angels,Andre Braugher
Kill Bill: Vol. 1,Uma Thurman
Kill Bill: Vol. 1,Lucy Liu
Kill Bill: Vol. 1,Vivica A. Fox
Bowfinger,Steve Martin
Bowfinger,Eddie Murphy
Bowfinger,Heather Graham
Kill Bill: Vol. 2,Uma Thurman
Kill Bill: Vol. 2,David Carradine
Kill Bill: Vol. 2,Daryl Hannah
Tango & Cash,Sylvester Stallone
Tango & Cash,Kurt Russell
Tango & Cash,Teri Hatcher
Death Becomes Her,Meryl Streep
Death Becomes Her,Bruce Willis
Death Becomes Her,Goldie Hawn
Shanghai Noon,Jackie Chan
Shanghai Noon,Owen Wilson
Shanghai Noon,Lucy Liu
Executive Decision,Kurt Russell
Executive Decision,Steven Seagal
Executive Decision,Halle Berry
Mr. Popper's Penguins,Jim Carrey
Mr. Popper's Penguins,Carla Gugino
Mr. Popper's Penguins,Madeline Carroll
The Forbidden Kingdom,Jackie Chan
The Forbidden Kingdom,Jet Li
The Forbidden Kingdom,Michael Angarano
Free Birds,Owen Wilson
Free Birds,Woody Harrelson
Free Birds,Amy Poehler
Alien³,Sigourney Weaver
Alien³,Charles S. Dutton
Alien³,Charles Dance
Evita,Madonna
Evita,Antonio Banderas
Evita,Jonathan Pryce
Ronin,Robert De Niro
Ronin,Jean Reno
Ronin,Natascha McElhone
The Ghost and the Darkness,Michael Douglas
The Ghost and the Darkness,Val Kilmer
The Ghost and the Darkness,Tom Wilkinson
Paddington,Nicole Kidman
Paddington,Peter Capaldi
Paddington,Ben Whishaw
The Watch,Ben Stiller
The Watch,Vince Vaughn
The Watch,Jonah Hill
The Hunted,Tommy Lee Jones
The Hunted,Benicio del Toro
The Hunted,Connie Nielsen
Instinct,Anthony Hopkins
Instinct,Cuba Gooding Jr.
Instinct,Donald Sutherland
Stuck on You,Matt Damon
Stuck on You,Greg Kinnear
Stuck on You,Eva Mendes
Semi-Pro,Will Ferrell
Semi-Pro,Maura Tierney
Semi-Pro,Woody Harrelson
The Pirates! In an Adventure with Scientists!,Hugh Grant
The Pirates! In an Adventure with Scientists!,Brendan Gleeson
The Pirates! In an Adventure with Scientists!,Jeremy Piven
Changeling,Angelina Jolie
Changeling,Jeffrey Donovan
Changeling,John Malkovich
Chain Reaction,Keanu Reeves
Chain Reaction,Morgan Freeman
Chain Reaction,Rachel Weisz
The Fan,Robert De Niro
The Fan,Wesley Snipes
The Fan,Ellen Barkin
The Phantom of the Opera,Gerard Butler
The Phantom of the Opera,Emmy Rossum
The Phantom of the Opera,Patrick Wilson
Elizabeth: The Golden Age,Cate Blanchett
Elizabeth: The Golden Age,Clive Owen
Elizabeth: The Golden Age,Geoffrey Rush
Æon Flux,Charlize Theron
Æon Flux,Marton Csokas
Æon Flux,Jonny Lee Miller
Gods and Generals,Stephen Lang
Gods and Generals,Jeff Daniels
Gods and Generals,Robert Duvall
Turbulence,Ray Liotta
Turbulence,Lauren Holly
Turbulence,Brendan Gleeson
Imagine That,Eddie Murphy
Imagine That,Thomas Haden Church
Imagine That,Yara Shahidi
Muppets Most Wanted,Ricky Gervais
Muppets Most Wanted,Ty Burrell
Muppets Most Wanted,Tina Fey
Thunderbirds,Brady Corbet
Thunderbirds,Soren Fulton
Thunderbirds,Debora Weston
Burlesque,Cher
Burlesque,Christina Aguilera
Burlesque,Eric Dane
A Very Long Engagement,Audrey Tautou
A Very Long Engagement,Gaspard Ulliel
A Very Long Engagement,Dominique Pinon
Lolita,James Mason
Lolita,Sue Lyon
Lolita,Shelley Winters
D-Tox,Sylvester Stallone
D-Tox,Courtney B. Vance
D-Tox,Tom Berenger
Blade II,Wesley Snipes
Blade II,Kris Kristofferson
Blade II,Ron Perlman
Seven Pounds,Will Smith
Seven Pounds,Rosario Dawson
Seven Pounds,Sarah Jane Morris
Bullet to the Head,Sylvester Stallone
Bullet to the Head,Sung Kang
Bullet to the Head,Sarah Shahi
The Godfather: Part III,Al Pacino
The Godfather: Part III,Diane Keaton
The Godfather: Part III,Andy García
Elizabethtown,Orlando Bloom
Elizabethtown,Kirsten Dunst
Elizabethtown,Susan Sarandon
"You, Me and Dupree",Kate Hudson
"You, Me and Dupree",Owen Wilson
"You, Me and Dupree",Matt Dillon
Superman II,Gene Hackman
Superman II,Christopher Reeve
Superman II,Ned Beatty
Gigli,Ben Affleck
Gigli,Jennifer Lopez
Gigli,Justin Bartha
All the King's Men,Sean Penn
All the King's Men,Jude Law
All the King's Men,Kate Winslet
Shaft,Samuel L. Jackson
Shaft,Jeffrey Wright
Shaft,Christian Bale
Anastasia,Meg Ryan
Anastasia,John Cusack
Anastasia,Christopher Lloyd
Moulin Rouge!,Nicole Kidman
Moulin Rouge!,Ewan McGregor
Moulin Rouge!,John Leguizamo
Domestic Disturbance,John Travolta
Domestic Disturbance,Vince Vaughn
Domestic Disturbance,Teri Polo
Black Mass,Johnny Depp
Black Mass,Joel Edgerton
Black Mass,Benedict Cumberbatch
Flags of Our Fathers,Ryan Phillippe
Flags of Our Fathers,Adam Beach
Flags of Our Fathers,Jesse Bradford
Law Abiding Citizen,Jamie Foxx
Law Abiding Citizen,Gerard Butler
Law Abiding Citizen,Colm Meaney
Grindhouse,Kurt Russell
Grindhouse,Zoë Bell
Grindhouse,Rosario Dawson
Beloved,Oprah Winfrey
Beloved,Danny Glover
Beloved,Thandie Newton
Lucky You,Eric Bana
Lucky You,Drew Barrymore
Lucky You,Robert Duvall
Catch Me If You Can,Leonardo DiCaprio
Catch Me If You Can,Tom Hanks
Catch Me If You Can,Christopher Walken
Zero Dark Thirty,Jessica Chastain
Zero Dark Thirty,Jason Clarke
Zero Dark Thirty,Mark Strong
The Break-Up,Vince Vaughn
The Break-Up,Jennifer Aniston
The Break-Up,Joey Lauren Adams
Mamma Mia!,Meryl Streep
Mamma Mia!,Pierce Brosnan
Mamma Mia!,Amanda Seyfried
Valentine's Day,Jessica Alba
Valentine's Day,Jessica Biel
Valentine's Day,Bradley Cooper
The Dukes of Hazzard,Johnny Knoxville
The Dukes of Hazzard,Seann William Scott
The Dukes of Hazzard,Jessica Simpson
The Thin Red Line,Sean Penn
The Thin Red Line,Adrien Brody
The Thin Red Line,Jim Caviezel
The Change-Up,Olivia Wilde
The Change-Up,Ryan Reynolds
The Change-Up,Jason Bateman
Man on the Moon,Jim Carrey
Man on the Moon,Courtney Love
Man on the Moon,Bob Zmuda
Casino,Robert De Niro
Casino,Sharon Stone
Casino,Joe Pesci
From Paris with Love,John Travolta
From Paris with Love,Jonathan Rhys Meyers
From Paris with Love,Kasia Smutniak
Bulletproof Monk,Seann William Scott
Bulletproof Monk,Jaime King
Bulletproof Monk,Karel Roden
"Me, Myself & Irene",Jim Carrey
"Me, Myself & Irene",Renée Zellweger
"Me, Myself & Irene",Anthony Anderson
Barnyard,Courteney Cox
Barnyard,Kevin James
Barnyard,Sam Elliott
Deck the Halls,Danny DeVito
Deck the Halls,Matthew Broderick
Deck the Halls,Kristin Davis
The Twilight Saga: New Moon,Kristen Stewart
The Twilight Saga: New Moon,Robert Pattinson
The Twilight Saga: New Moon,Taylor Lautner
Shrek,Mike Myers
Shrek,Eddie Murphy
Shrek,Cameron Diaz
The Adjustment Bureau,Matt Damon
The Adjustment Bureau,Emily Blunt
The Adjustment Bureau,John Slattery
Robin Hood: Prince of Thieves,Kevin Costner
Robin Hood: Prince of Thieves,Morgan Freeman
Robin Hood: Prince of Thieves,Christian Slater
Jerry Maguire,Tom Cruise
Jerry Maguire,Cuba Gooding Jr.
Jerry Maguire,Renée Zellweger
Ted,Mark Wahlberg
Ted,Mila Kunis
Ted,Seth MacFarlane
As Good as It Gets,Jack Nicholson
As Good as It Gets,Helen Hunt
As Good as It Gets,Greg Kinnear
Patch Adams,Robin Williams
Patch Adams,Philip Seymour Hoffman
Patch Adams,Bob Gunton
Anchorman 2: The Legend Continues,Will Ferrell
Anchorman 2: The Legend Continues,Steve Carell
Anchorman 2: The Legend Continues,Paul Rudd
Mr. Deeds,Adam Sandler
Mr. Deeds,Winona Ryder
Mr. Deeds,John Turturro
Super 8,Joel Courtney
Super 8,Elle Fanning
Super 8,Riley Griffiths
Erin Brockovich,Julia Roberts
Erin Brockovich,Albert Finney
Erin Brockovich,Aaron Eckhart
How to Lose a Guy in 10 Days,Kate Hudson
How to Lose a Guy in 10 Days,Matthew McConaughey
How to Lose a Guy in 10 Days,Kathryn Hahn
22 Jump Street,Jonah Hill
22 Jump Street,Channing Tatum
22 Jump Street,Dave Franco
Interview with the Vampire,Brad Pitt
Interview with the Vampire,Tom Cruise
Interview with the Vampire,Kirsten Dunst
Yes Man,Jim Carrey
Yes Man,Zooey Deschanel
Yes Man,Rhys Darby
Central Intelligence,Dwayne Johnson
Central Intelligence,Kevin Hart
Central Intelligence,Amy Ryan
Stepmom,Julia Roberts
Stepmom,Susan Sarandon
Stepmom,Ed Harris
Daddy's Home,Will Ferrell
Daddy's Home,Mark Wahlberg
Daddy's Home,Linda Cardellini
Into the Woods,Meryl Streep
Into the Woods,Emily Blunt
Into the Woods,James Corden
Inside Man,Denzel Washington
Inside Man,Clive Owen
Inside Man,Jodie Foster
Payback,Mel Gibson
Payback,Kris Kristofferson
Payback,Gregg Henry
Congo,Laura Linney
Congo,Dylan Walsh
Congo,Ernie Hudson
We Bought a Zoo,Matt Damon
We Bought a Zoo,Scarlett Johansson
We Bought a Zoo,Thomas Haden Church
Knowing,Nicolas Cage
Knowing,Rose Byrne
Knowing,Chandler Canterbury
Failure to Launch,Matthew McConaughey
Failure to Launch,Sarah Jessica Parker
Failure to Launch,Zooey Deschanel
The Ring Two,Naomi Watts
The Ring Two,Simon Baker
The Ring Two,Elizabeth Perkins
"Crazy, Stupid, Love.",Steve Carell
"Crazy, Stupid, Love.",Julianne Moore
"Crazy, Stupid, Love.",Ryan Gosling
Garfield,Bill Murray
Garfield,Breckin Meyer
Garfield,Jennifer Love Hewitt
Christmas with the Kranks,Tim Allen
Christmas with the Kranks,Jamie Lee Curtis
Christmas with the Kranks,Dan Aykroyd
Moneyball,Brad Pitt
Moneyball,Jonah Hill
Moneyball,Philip Seymour Hoffman
Outbreak,Dustin Hoffman
Outbreak,Rene Russo
Outbreak,Morgan Freeman
Non-Stop,Liam Neeson
Non-Stop,Julianne Moore
Non-Stop,Scoot McNairy
Race to Witch Mountain,Dwayne Johnson
Race to Witch Mountain,AnnaSophia Robb
Race to Witch Mountain,Alexander Ludwig
V for Vendetta,Natalie Portman
V for Vendetta,Hugo Weaving
V for Vendetta,Stephen Rea
Shanghai Knights,Jackie Chan
Shanghai Knights,Owen Wilson
Shanghai Knights,Fann Wong
Curious George,Will Ferrell
Curious George,Drew Barrymore
Curious George,David Cross
Herbie Fully Loaded,Lindsay Lohan
Herbie Fully Loaded,Michael Keaton
Herbie Fully Loaded,Matt Dillon
Don't Say a Word,Michael Douglas
Don't Say a Word,Sean Bean
Don't Say a Word,Brittany Murphy
Hansel & Gretel: Witch Hunters,Jeremy Renner
Hansel & Gretel: Witch Hunters,Gemma Arterton
Hansel & Gretel: Witch Hunters,Famke Janssen
Unfaithful,Richard Gere
Unfaithful,Diane Lane
Unfaithful,Olivier Martinez
I Am Number Four,Alex Pettyfer
I Am Number Four,Timothy Olyphant
I Am Number Four,Teresa Palmer
Syriana,George Clooney
Syriana,Matt Damon
Syriana,Jeffrey Wright
13 Hours: The Secret Soldiers of Benghazi,James Badge Dale
13 Hours: The Secret Soldiers of Benghazi,John Krasinski
13 Hours: The Secret Soldiers of Benghazi,Max Martini
The Book of Life,Diego Luna
The Book of Life,Channing Tatum
The Book of Life,Zoe Saldana
Firewall,Harrison Ford
Firewall,Paul Bettany
Firewall,Virginia Madsen
Absolute Power,Clint Eastwood
Absolute Power,Gene Hackman
Absolute Power,Ed Harris
G.I. Jane,Demi Moore
G.I. Jane,Viggo Mortensen
G.I. Jane,Anne Bancroft
The Game,Michael Douglas
The Game,Sean Penn
The Game,Deborah Kara Unger
Silent Hill,Radha Mitchell
Silent Hill,Sean Bean
Silent Hill,Laurie Holden
The Replacements,Keanu Reeves
The Replacements,Gene Hackman
The Replacements,Brooke Langton
American Reunion,Jason Biggs
American Reunion,Alyson Hannigan
American Reunion,Seann William Scott
The Negotiator,Samuel L. Jackson
The Negotiator,Kevin Spacey
The Negotiator,David Morse
Into the Storm,Richard Armitage
Into the Storm,Sarah Wayne Callies
Into the Storm,Matt Walsh
Beverly Hills Cop III,Eddie Murphy
Beverly Hills Cop III,Judge Reinhold
Beverly Hills Cop III,Héctor Elizondo
Gremlins 2: The New Batch,Zach Galligan
Gremlins 2: The New Batch,Phoebe Cates
Gremlins 2: The New Batch,John Glover
The Judge,Robert Duvall
The Judge,Robert Downey Jr.
The Judge,Vera Farmiga
The Peacemaker,George Clooney
The Peacemaker,Nicole Kidman
The Peacemaker,Marcel Iureș
Resident Evil: Apocalypse,Milla Jovovich
Resident Evil: Apocalypse,Sienna Guillory
Resident Evil: Apocalypse,Oded Fehr
Bridget Jones: The Edge of Reason,Renée Zellweger
Bridget Jones: The Edge of Reason,Hugh Grant
Bridget Jones: The Edge of Reason,Colin Firth
Out of Time,Denzel Washington
Out of Time,Eva Mendes
Out of Time,Sanaa Lathan
On Deadly Ground,Steven Seagal
On Deadly Ground,Michael Caine
On Deadly Ground,Joan Chen
The Adventures of Sharkboy and Lavagirl,Taylor Lautner
The Adventures of Sharkboy and Lavagirl,Taylor Dooley
The Adventures of Sharkboy and Lavagirl,Cayden Boyd
The Beach,Leonardo DiCaprio
The Beach,Guillaume Canet
The Beach,Tilda Swinton
Raising Helen,Kate Hudson
Raising Helen,John Corbett
Raising Helen,Joan Cusack
Ninja Assassin,Rain
Ninja Assassin,Naomie Harris
Ninja Assassin,Sung Kang
For Love of the Game,Kevin Costner
For Love of the Game,Kelly Preston
For Love of the Game,John C. Reilly
Striptease,Demi Moore
Striptease,Burt Reynolds
Striptease,Armand Assante
Marmaduke,Owen Wilson
Marmaduke,Emma Stone
Marmaduke,George Lopez
Hereafter,Matt Damon
Hereafter,Bryce Dallas Howard
Hereafter,George McLaren
Murder by Numbers,Sandra Bullock
Murder by Numbers,Ben Chaplin
Murder by Numbers,Ryan Gosling
Assassins,Sylvester Stallone
Assassins,Antonio Banderas
Assassins,Julianne Moore
Hannibal Rising,Gaspard Ulliel
Hannibal Rising,Aaran Thomas
Hannibal Rising,Gong Li
The Story of Us,Bruce Willis
The Story of Us,Michelle Pfeiffer
The Story of Us,Rob Reiner
The Host,Saoirse Ronan
The Host,Diane Kruger
The Host,Jake Abel
Basic,John Travolta
Basic,Connie Nielsen
Basic,Samuel L. Jackson
Blood Work,Clint Eastwood
Blood Work,Jeff Daniels
Blood Work,Anjelica Huston
The International,Clive Owen
The International,Naomi Watts
The International,Armin Mueller-Stahl
Escape from L.A.,Kurt Russell
Escape from L.A.,Stacy Keach
Escape from L.A.,Steve Buscemi
The Iron Giant,Eli Marienthal
The Iron Giant,Jennifer Aniston
The Iron Giant,Vin Diesel
The Life Aquatic with Steve Zissou,Bill Murray
The Life Aquatic with Steve Zissou,Anjelica Huston
The Life Aquatic with Steve Zissou,Cate Blanchett
Free State of Jones,Matthew McConaughey
Free State of Jones,Gugu Mbatha-Raw
Free State of Jones,Mahershala Ali
The Life of David Gale,Kevin Spacey
The Life of David Gale,Kate Winslet
The Life of David Gale,Laura Linney
Man of the House,Tommy Lee Jones
Man of the House,Cedric the Entertainer
Man of the House,Christina Milian
Run All Night,Liam Neeson
Run All Night,Ed Harris
Run All Night,Joel Kinnaman
Eastern Promises,Naomi Watts
Eastern Promises,Viggo Mortensen
Eastern Promises,Vincent Cassel
Into the Blue,Paul Walker
Into the Blue,Jessica Alba
Into the Blue,Scott Caan
The Messenger: The Story of Joan of Arc,Milla Jovovich
The Messenger: The Story of Joan of Arc,Dustin Hoffman
The Messenger: The Story of Joan of Arc,Faye Dunaway
Your Highness,Danny McBride
Your Highness,James Franco
Your Highness,Natalie Portman
Dream House,Daniel Craig
Dream House,Naomi Watts
Dream House,Rachel Weisz
Mad City,John Travolta
Mad City,Dustin Hoffman
Mad City,Mia Kirshner
Baby's Day Out,Joe Mantegna
Baby's Day Out,Lara Flynn Boyle
Baby's Day Out,Joe Pantoliano
The Scarlet Letter,Demi Moore
The Scarlet Letter,Gary Oldman
The Scarlet Letter,Robert Duvall
Fair Game,Naomi Watts
Fair Game,Sean Penn
Fair Game,Ty Burrell
Domino,Keira Knightley
Domino,Mickey Rourke
Domino,Edgar Ramírez
Jade,David Caruso
Jade,Linda Fiorentino
Jade,Chazz Palminteri
Gamer,Gerard Butler
Gamer,Michael C. Hall
Gamer,Logan Lerman
Beautiful Creatures,Alden Ehrenreich
Beautiful Creatures,Alice Englert
Beautiful Creatures,Jeremy Irons
Death to Smoochy,Robin Williams
Death to Smoochy,Catherine Keener
Death to Smoochy,Edward Norton
Zoolander 2,Ben Stiller
Zoolander 2,Owen Wilson
Zoolander 2,Will Ferrell
The Big Bounce,Owen Wilson
The Big Bounce,Morgan Freeman
The Big Bounce,Gary Sinise
What Planet Are You From?,Garry Shandling
What Planet Are You From?,Annette Bening
What Planet Are You From?,John Goodman
Drive Angry,Nicolas Cage
Drive Angry,Amber Heard
Drive Angry,William Fichtner
Street Fighter: The Legend of Chun-Li,Kristin Kreuk
Street Fighter: The Legend of Chun-Li,Chris Klein
Street Fighter: The Legend of Chun-Li,Neal McDonough
The One,Jet Li
The One,Jason Statham
The One,Carla Gugino
The Adventures of Ford Fairlane,Andrew Dice Clay
The Adventures of Ford Fairlane,Wayne Newton
The Adventures of Ford Fairlane,Priscilla Presley
The Boat That Rocked,Tom Sturridge
The Boat That Rocked,Philip Seymour Hoffman
The Boat That Rocked,Rhys Ifans
Traffic,Michael Douglas
Traffic,Benicio del Toro
Traffic,Jacob Vargas
Indiana Jones and the Last Crusade,Harrison Ford
Indiana Jones and the Last Crusade,Sean Connery
Indiana Jones and the Last Crusade,Denholm Elliott
Anna Karenina,Keira Knightley
Anna Karenina,Jude Law
Anna Karenina,Aaron Taylor-Johnson
Chappie,Sharlto Copley
Chappie,Dev Patel
Chappie,Ninja
The Bone Collector,Denzel Washington
The Bone Collector,Angelina Jolie
The Bone Collector,Queen Latifah
Panic Room,Jodie Foster
Panic Room,Kristen Stewart
Panic Room,Forest Whitaker
The Tooth Fairy,Lochlyn Munro
The Tooth Fairy,Chandra West
The Tooth Fairy,Steve Bacic
Three Kings,George Clooney
Three Kings,Mark Wahlberg
Three Kings,Ice Cube
Child 44,Tom Hardy
Child 44,Gary Oldman
Child 44,Noomi Rapace
Rat Race,Cuba Gooding Jr.
Rat Race,Seth Green
Rat Race,Whoopi Goldberg
K-PAX,Jeff Bridges
K-PAX,Kevin Spacey
K-PAX,Mary McCormack
Kate & Leopold,Meg Ryan
Kate & Leopold,Hugh Jackman
Kate & Leopold,Liev Schreiber
Bedazzled,Elizabeth Hurley
Bedazzled,Brendan Fraser
Bedazzled,Frances O'Connor
The Cotton Club,Richard Gere
The Cotton Club,Gregory Hines
The Cotton Club,Diane Lane
3:10 to Yuma,Russell Crowe
3:10 to Yuma,Christian Bale
3:10 to Yuma,Logan Lerman
Taken 3,Liam Neeson
Taken 3,Forest Whitaker
Taken 3,Maggie Grace
Out of Sight,George Clooney
Out of Sight,Jennifer Lopez
Out of Sight,Ving Rhames
The Cable Guy,Jim Carrey
The Cable Guy,Matthew Broderick
The Cable Guy,Leslie Mann
Earth,Aamir Khan
Earth,Nandita Das
Earth,Maia Sethna
Dick Tracy,Warren Beatty
Dick Tracy,Al Pacino
